split,model,horizon,RMSE,MAE,n
val,ensemble_stack_selected,6,76.37222290039062,43.97064208984375,1062
val,ensemble_stack_selected,24,99.45166778564453,73.2165756225586,1063
val,ensemble_stack_selected,72,105.44371795654297,79.7419204711914,1063
test,ensemble_stack_selected,6,50.89874267578125,33.225894927978516,4282
test,ensemble_stack_selected,24,75.88860321044922,51.92696762084961,4295
test,ensemble_stack_selected,72,94.05760192871094,70.69014739990234,4294
