split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_seed_member,PM2.5,6,79.21083068847656,42.637359619140625,1062
val,ensemble_seed_member,PM2.5,24,101.13973999023438,74.95263671875,1063
val,ensemble_seed_member,PM2.5,72,114.63803100585938,89.88948059082031,1063
test,ensemble_seed_member,PM2.5,6,48.37778091430664,28.633304595947266,4282
test,ensemble_seed_member,PM2.5,24,74.62677001953125,50.70450210571289,4295
test,ensemble_seed_member,PM2.5,72,84.00534057617188,61.310672760009766,4294
