split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_weighted,PM2.5,6,79.48466491699219,42.58582305908203,1062
val,ensemble_weighted,PM2.5,24,101.59281921386719,75.18463134765625,1063
val,ensemble_weighted,PM2.5,72,115.61270904541016,90.80928039550781,1063
test,ensemble_weighted,PM2.5,6,48.003116607666016,28.12430763244629,4282
test,ensemble_weighted,PM2.5,24,74.77424621582031,50.64681625366211,4295
test,ensemble_weighted,PM2.5,72,84.15206146240234,60.984928131103516,4294
