,permutation_dRMSE_scaled,gradient_saliency
PM2.5,0.07934,0.00173
PRES,0.0571,0.00106
NO2,0.02396,0.00074
TEMP,0.02148,0.00072
PM10,0.01322,0.00086
WSPM,0.01248,0.00082
SO2,0.00882,0.00066
wd_sin,0.00444,0.00039
O3,0.00171,0.0007
RAIN,0.00134,0.00042
wd_cos,-0.00244,0.00067
DEWP,-0.00418,0.00105
CO,-0.00737,0.00076
