model,label,seeds,h6_RMSE_mean,h6_RMSE_std,h6_MAE_mean,h6_R2_mean,h6_sMAPE_mean,h6_n,h24_RMSE_mean,h24_RMSE_std,h24_MAE_mean,h24_R2_mean,h24_sMAPE_mean,h24_n,h72_RMSE_mean,h72_RMSE_std,h72_MAE_mean,h72_R2_mean,h72_sMAPE_mean,h72_n
hybrid8_sarima,Hybrid8 + ARIMA/SARIMA,1,77.2080307006836,,39.442447662353516,0.2906628169906238,47.69276809692383,4459,81.59490966796875,,49.098045349121094,0.3712174028655084,52.59260559082031,4569,84.3816146850586,,53.33860397338867,0.3280421513205688,57.713191986083984,4566
hybrid8_transformer,Hybrid8 + Transformer,3,68.61343892415364,0.20111606248947583,35.129564921061196,0.4397912759107781,46.422760009765625,4459,78.31319427490234,0.1874588677660751,44.85777918497721,0.4207757491551785,50.67602030436198,4569,81.82686106363933,0.7915368014062467,49.763816833496094,0.368055652583019,56.7561887105306,4566
hybrid8_masked_transformer,Hybrid8 + mask + Transformer,3,68.61343892415364,0.20111606248947583,35.129564921061196,0.4397912759107781,46.422760009765625,4459,78.31319427490234,0.1874588677660751,44.85777918497721,0.4207757491551785,50.67602030436198,4569,81.82686106363933,0.7915368014062467,49.763816833496094,0.368055652583019,56.7561887105306,4566
hybrid8_masked_proposed,Hybrid8 + mask + MAT,3,68.32589721679688,0.28063451352426544,35.74633280436198,0.4444722516929242,48.21510442097982,4459,78.74802144368489,1.1676337543271424,46.89001973470052,0.4142002497891322,51.851236979166664,4569,81.89404805501302,1.23093644181192,50.886086781819664,0.36693369359481226,57.82299041748047,4566
hybrid8_masked_variant_B,Hybrid8 + mask + MAT variant B,3,68.1355717976888,0.15791794062542652,35.19787724812826,0.4475691750228072,48.37788645426432,4459,77.35550181070964,1.3215710209375693,45.78462600708008,0.43469405461516236,51.81736373901367,4569,80.5239741007487,1.2440063189314667,49.41095225016276,0.38793093731671285,56.91639200846354,4566
hybrid8_masked_proposed_md,Hybrid8 + mask + MAT + miss-dropout,3,68.71889241536458,0.4741727406158912,36.912576039632164,0.4380460374884408,48.41666030883789,4459,78.87430063883464,0.7334043533451616,47.283013661702476,0.41239835159898447,51.0299186706543,4569,81.32657877604167,0.15830376319134512,49.706329345703125,0.3758154199507994,56.74800491333008,4566
