layer,head,peak_lag_h,entropy_nats
0,0,23,4.8
0,1,17,4.494
0,2,12,3.633
0,3,17,4.469
0,4,1,4.438
0,5,3,4.504
0,6,4,4.522
0,7,17,4.259
1,0,7,4.712
1,1,16,4.621
1,2,2,3.952
1,3,17,3.832
1,4,19,4.706
1,5,2,4.107
1,6,0,4.395
1,7,3,4.075
2,0,4,5.028
2,1,1,4.921
2,2,0,4.973
2,3,17,3.777
2,4,17,4.993
2,5,1,4.869
2,6,0,4.932
2,7,1,4.863
