dataset,horizon,member,coef,intercept,alpha
Dhaka,6,persistence,0.030831847726161765,-0.019872556684857906,215.44346900318823
Dhaka,6,seasonal_naive,0.08762045425978586,-0.019872556684857906,215.44346900318823
Dhaka,6,dlinear_s42,0.04038183889870923,-0.019872556684857906,215.44346900318823
Dhaka,6,dlinear_s43,0.06689943690336315,-0.019872556684857906,215.44346900318823
Dhaka,6,dlinear_s44,0.0437679885201194,-0.019872556684857906,215.44346900318823
Dhaka,6,gru_d_s42,-0.0010056988475113668,-0.019872556684857906,215.44346900318823
Dhaka,6,gru_d_s43,0.032040246933659575,-0.019872556684857906,215.44346900318823
Dhaka,6,gru_d_s44,0.002247191629854876,-0.019872556684857906,215.44346900318823
Dhaka,6,proposed_s42,0.014968134672305107,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_transformer_s42,0.04906600305643355,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_transformer_s43,0.05693158688775624,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_transformer_s44,0.09235778043598758,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_transformer_s42,0.04906600305643355,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_transformer_s43,0.05693158688775624,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_transformer_s44,0.09235778043598758,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_variant_B_s42,0.03473779246108291,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_variant_B_s43,0.06725403029649274,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_variant_B_s44,0.06363568303197915,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_proposed_md_s42,0.02189094842044842,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_proposed_md_s43,0.05072308314734191,-0.019872556684857906,215.44346900318823
Dhaka,6,hybrid8_masked_proposed_md_s44,0.06303822768999717,-0.019872556684857906,215.44346900318823
Dhaka,24,persistence,-0.06271070665420389,-0.011696363426251688,21.54434690031882
Dhaka,24,seasonal_naive,0.21404059686621996,-0.011696363426251688,21.54434690031882
Dhaka,24,dlinear_s42,-0.10304161392903764,-0.011696363426251688,21.54434690031882
Dhaka,24,dlinear_s43,0.03080768401413365,-0.011696363426251688,21.54434690031882
Dhaka,24,dlinear_s44,0.16414426580776578,-0.011696363426251688,21.54434690031882
Dhaka,24,gru_d_s42,0.07363621134615292,-0.011696363426251688,21.54434690031882
