candidate,seed,horizon,RMSE,MAE
validation_h6_rrelu_d32_a10_g0,42,6,67.55309295654297,34.552364349365234
validation_h6_rrelu_d32_a10_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a10_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a10_g0,43,6,66.9210205078125,32.861488342285156
validation_h6_rrelu_d32_a10_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a10_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a10_g0,44,6,68.46597290039062,36.818119049072266
validation_h6_rrelu_d32_a10_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a10_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d32_a10_g2,42,6,67.11473846435547,34.12699890136719
validation_h6_rrelu_d32_a10_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a10_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a10_g2,43,6,66.85334777832031,32.8628044128418
validation_h6_rrelu_d32_a10_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a10_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a10_g2,44,6,68.26324462890625,36.502803802490234
validation_h6_rrelu_d32_a10_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a10_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d32_a100_g0,42,6,66.94053649902344,33.18179702758789
validation_h6_rrelu_d32_a100_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a100_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a100_g0,43,6,66.12296295166016,32.31377410888672
validation_h6_rrelu_d32_a100_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a100_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a100_g0,44,6,67.69985961914062,35.27659225463867
validation_h6_rrelu_d32_a100_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a100_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d32_a100_g2,42,6,66.58948516845703,33.2623291015625
validation_h6_rrelu_d32_a100_g2,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a100_g2,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a100_g2,43,6,65.99712371826172,32.116397857666016
validation_h6_rrelu_d32_a100_g2,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a100_g2,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a100_g2,44,6,67.58882141113281,35.245914459228516
validation_h6_rrelu_d32_a100_g2,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a100_g2,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d32_a1000_g0,42,6,66.12963104248047,32.591373443603516
validation_h6_rrelu_d32_a1000_g0,42,24,74.25871276855469,40.556148529052734
validation_h6_rrelu_d32_a1000_g0,42,72,77.58252716064453,45.099666595458984
validation_h6_rrelu_d32_a1000_g0,43,6,66.15792083740234,33.67913818359375
validation_h6_rrelu_d32_a1000_g0,43,24,73.91810607910156,40.509037017822266
validation_h6_rrelu_d32_a1000_g0,43,72,77.7647476196289,45.917911529541016
validation_h6_rrelu_d32_a1000_g0,44,6,66.42604064941406,33.851905822753906
validation_h6_rrelu_d32_a1000_g0,44,24,74.2281723022461,41.16897201538086
validation_h6_rrelu_d32_a1000_g0,44,72,77.21524810791016,44.73462677001953
validation_h6_rrelu_d32_a1000_g2,42,6,66.1104965209961,32.12209701538086
