split,model,horizon,RMSE,MAE,n
val,ensemble_stack_selected,6,37.34067916870117,25.678386688232422,1186
val,ensemble_stack_selected,24,56.72788619995117,40.08465576171875,1207
val,ensemble_stack_selected,72,66.31546783447266,49.21455001831055,1209
test,ensemble_stack_selected,6,66.28361511230469,32.5758171081543,4459
test,ensemble_stack_selected,24,74.98985290527344,41.23993682861328,4569
test,ensemble_stack_selected,72,78.19660949707031,46.70332336425781,4566
