feature,coefficient
BP,0.38681809535207556
month_cos,-0.2876518332970968
month_sin,-0.22569692205495134
RH,0.1879953434826416
Temp,0.1866816303243771
SR,0.055733027832317726
WS,-0.05451617440993499
hour_sin,-0.037638672167444466
hour_cos,0.03027602664763164
