split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_weighted_hybrid8,PM2.5,6,37.56843948364258,25.726091384887695,1186
val,ensemble_weighted_hybrid8,PM2.5,24,57.20329666137695,40.80549240112305,1207
val,ensemble_weighted_hybrid8,PM2.5,72,66.7601318359375,49.393619537353516,1209
test,ensemble_weighted_hybrid8,PM2.5,6,66.17344665527344,32.06264114379883,4459
test,ensemble_weighted_hybrid8,PM2.5,24,74.71553802490234,40.77545166015625,4569
test,ensemble_weighted_hybrid8,PM2.5,72,77.89633178710938,45.087650299072266,4566
