split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_seed_member,PM2.5,6,37.34067916870117,25.678386688232422,1186
val,ensemble_seed_member,PM2.5,24,56.968650817871094,40.22170639038086,1207
val,ensemble_seed_member,PM2.5,72,66.57551574707031,49.07123565673828,1209
test,ensemble_seed_member,PM2.5,6,66.28361511230469,32.5758171081543,4459
test,ensemble_seed_member,PM2.5,24,74.91671752929688,40.96807098388672,4569
test,ensemble_seed_member,PM2.5,72,77.74080657958984,44.62143325805664,4566
