model,horizon,seeds,RMSE_mean,RMSE_std,MAE_mean,R2_mean,n
full,6,3,67.03036753336589,0.27859684763408793,35.09607823689779,0.4653390564671458,4459
full,24,3,76.45538584391277,0.5089838307925802,43.57592519124349,0.447910055517393,4569
full,72,3,81.53900400797527,1.2944842621075132,48.968255360921226,0.37239467481680827,4566
no_miss_embed,6,3,67.51674143473308,0.18153259356595985,35.25679397583008,0.45755731451079723,4459
no_miss_embed,24,3,76.34595235188802,0.29392827843352287,43.51856358846029,0.44950563348466427,4569
no_miss_embed,72,3,81.92581431070964,1.8855105992676684,48.867499033610024,0.3662501150206037,4566
variant_B,6,3,67.03720347086589,0.2860271294988365,34.314595540364586,0.46522948203119796,4459
variant_B,24,3,76.00104522705078,0.5083183250963326,43.06577682495117,0.4544520409386066,4569
variant_B,72,3,80.25658925374348,1.3602271444922014,47.86499786376953,0.391959490039636,4566
no_met,6,3,67.43081156412761,0.053818829260642055,34.90569559733073,0.45894079183870956,4459
no_met,24,3,76.69819895426433,1.180190419509769,43.779945373535156,0.444290852644366,4569
no_met,72,3,81.45806884765625,0.7221005579761789,49.7385622660319,0.37374856274194457,4566
no_time,6,3,67.88111623128255,0.5631415013858524,35.24383036295573,0.45165285537743616,4459
no_time,24,3,78.12578582763672,0.95978537008199,45.08800760904948,0.4234609437416621,4569
no_time,72,3,84.68904622395833,1.057954322109299,51.81776809692383,0.323031235145325,4566
seq72,6,3,68.09609985351562,0.5178010349201907,36.29324849446615,0.4481800983149021,4459
seq72,24,3,77.20551045735677,1.0989065581997954,44.435064951578774,0.4369344177299352,4569
seq72,72,3,80.58882649739583,0.7094731151012388,48.706521352132164,0.3870434426102786,4566
seq336,6,1,68.61734008789062,0.0,36.406253814697266,0.4397324056707146,4459
seq336,24,1,77.99222564697266,0.0,44.02748107910156,0.425517228207144,4569
seq336,72,1,80.97698974609375,0.0,48.35537338256836,0.3811724520342381,4566
single_h24,6,3,117.81296030680339,6.7710165094507815,85.61055755615234,-0.6570898360575008,4459
single_h24,24,3,77.04959360758464,1.4859802404096532,44.04477183024088,0.4391113909819486,4569
single_h24,72,3,144.46138763427734,33.73877261472654,97.5435053507487,-1.076897532687829,4566
miss_dropout,6,3,67.4765853881836,0.8844700372648443,36.36114501953125,0.4581132104071483,4459
miss_dropout,24,3,79.69094340006511,1.7715558264104228,47.45382181803385,0.39992308880390603,4569
miss_dropout,72,3,81.53955078125,0.9090643507879376,49.289198557535805,0.3724663947619555,4566
