dataset,horizon,model,val,test
Dhaka,6,extra200,39.3743649960801,65.30211524547693
Dhaka,6,hgb,39.398094219042825,67.09308786704402
Dhaka,24,extra200,58.28788694304672,74.31316747940558
Dhaka,24,hgb,59.69115048556489,74.59681134384142
Dhaka,72,extra200,68.38696705936954,78.31712762381167
Dhaka,72,hgb,69.52086349546751,77.9987445925249
