dataset,horizon,comparison,validation_weighted_RMSE,equal_weight_RMSE,RMSE_diff,diff_CI95_lo,diff_CI95_hi,DM_stat,DM_p,n
Dhaka,6,validation_weighted_minus_equal_weight,66.17344665527344,66.2621841430664,-0.08873748779296875,-0.4024019241333008,0.24160919189453112,-0.5430188107968815,0.5871439987809035,4459
Dhaka,24,validation_weighted_minus_equal_weight,74.71553802490234,75.68303680419922,-0.967498779296875,-1.5823841094970703,-0.3600652694702149,-3.129762630096722,0.0017605073633712998,4569
Dhaka,72,validation_weighted_minus_equal_weight,77.89633178710938,78.29685974121094,-0.4005279541015625,-0.9504806518554687,0.16340961456298736,-1.4490531828587743,0.1473914178791309,4566
Delhi,6,validation_weighted_minus_equal_weight,21.69027328491211,21.137765884399414,0.5525074005126953,-0.08997735977172851,1.269957971572874,1.5040196478675,0.13316200961322466,540
Delhi,24,validation_weighted_minus_equal_weight,24.50563621520996,24.596994400024414,-0.09135818481445312,-0.350836181640625,0.1747920036315917,-0.6251400968716398,0.5321436776009905,540
Delhi,72,validation_weighted_minus_equal_weight,27.71953010559082,28.57161521911621,-0.8520851135253906,-1.1416733264923096,-0.5674248695373537,-3.923125633808693,9.870935738143238e-05,540
Beijing,6,validation_weighted_minus_equal_weight,48.003116607666016,50.21986770629883,-2.2167510986328125,-2.9541378021240234,-1.4847211837768568,-4.303709863578061,1.717139252122024e-05,4282
Beijing,24,validation_weighted_minus_equal_weight,74.77424621582031,75.38420104980469,-0.609954833984375,-0.9747333526611328,-0.2336372375488283,-2.568187324903312,0.010256707637903206,4295
Beijing,72,validation_weighted_minus_equal_weight,84.15206146240234,85.09513092041016,-0.9430694580078125,-1.3124160766601562,-0.5577217102050782,-2.9964343543016057,0.0027471936460765622,4294
