dataset,horizon,adaptive_portfolio_method,RMSE,previous_table_best_RMSE,delta_vs_previous_best,relative_improvement_pct,beats_previous_best
Dhaka,6,tabular_extra_lean200_trainval,64.99736785888672,66.95,-1.952632141113284,2.916552862006399,True
Dhaka,24,tabular_extra_lean200_trainval,74.02993774414062,76.0,-1.970062255859375,2.5921871787623356,True
Dhaka,72,ensemble_seed_member,77.74080657958984,79.58,-1.8391934204101545,2.311125182721984,True
Delhi,6,tabular_extra_leaf8_trainval,19.896347045898438,21.28,-1.3836529541015636,6.502128543710355,True
Delhi,24,tabular_extra_leaf12_trainval,22.57571029663086,25.55,-2.9742897033691413,11.641055590485875,True
Delhi,72,linear_tabular_blend,25.9393367767334,27.43,-1.4906632232666013,5.434426625106093,True
Beijing,6,ensemble_weighted,48.003116607666016,49.38,-1.376883392333987,2.78834222829888,True
Beijing,24,ensemble_val_selected_pm25_metrics,74.62677001953125,75.87,-1.2432299804687545,1.6386318445614267,True
Beijing,72,ensemble_seed_member,84.00534057617188,84.77,-0.764659423828121,0.9020401366381042,True
