model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
seasonal_naive,,SO2,24,22.80315399169922,5.365408420562744,0.2538944690629932,43.39081954956055,3948.0
seasonal_naive,,SO2,72,29.733469009399414,6.801379680633545,-0.22950125036627278,50.730411529541016,3950.0
sarima,,PM2.5,6,79.95516967773438,39.89146423339844,0.23928697731579673,47.773338317871094,4459.0
sarima,,PM2.5,24,83.86502075195312,49.156532287597656,0.33574300250329325,52.12999725341797,4569.0
sarima,,PM2.5,72,86.73535919189453,53.85005187988281,0.29003206852970975,57.3827018737793,4566.0
sarima,,PM10,6,,,,,
sarima,,PM10,24,,,,,
sarima,,PM10,72,,,,,
sarima,,NO2,6,,,,,
sarima,,NO2,24,,,,,
sarima,,NO2,72,,,,,
sarima,,O3,6,,,,,
sarima,,O3,24,,,,,
sarima,,O3,72,,,,,
sarima,,CO,6,,,,,
sarima,,CO,24,,,,,
sarima,,CO,72,,,,,
sarima,,SO2,6,,,,,
sarima,,SO2,24,,,,,
sarima,,SO2,72,,,,,
lstm,42.0,PM2.5,6,67.98466491699219,35.263973236083984,0.4500164975441556,47.1265869140625,4459.0
lstm,42.0,PM2.5,24,77.9365234375,43.0968017578125,0.4263374792508443,46.85090255737305,4569.0
lstm,42.0,PM2.5,72,79.91160583496094,45.755653381347656,0.3973486686421963,49.353363037109375,4566.0
lstm,42.0,PM10,6,87.72886657714844,51.45515823364258,0.46740694046918485,45.989723205566406,3707.0
lstm,42.0,PM10,24,115.77165985107422,77.74991607666016,0.47016889463801603,47.66027069091797,3807.0
lstm,42.0,PM10,72,125.35980987548828,84.47208404541016,0.38020088622610193,51.32343292236328,3797.0
lstm,42.0,NO2,6,13.264087677001953,5.523001670837402,0.6372530338730715,71.50975799560547,3702.0
lstm,42.0,NO2,24,16.01189613342285,7.273082733154297,0.5745369765338146,78.58119201660156,3819.0
lstm,42.0,NO2,72,17.008119583129883,7.559621810913086,0.5114817065070727,80.2420425415039,3817.0
lstm,42.0,O3,6,12.864044189453125,6.717504024505615,0.46410641756436,70.66211700439453,3633.0
