dataset,model,standard_equiv,h6_hybrid,h6_standard,h6_delta_hybrid_minus_standard,h24_hybrid,h24_standard,h24_delta_hybrid_minus_standard,h72_hybrid,h72_standard,h72_delta_hybrid_minus_standard
Dhaka,Hybrid8 + mask + MAT,Proposed (MAT),68.56025950113933,67.03,1.5302595011393265,80.06225331624348,76.46,3.602253316243491,82.6859842936198,81.54,1.1459842936197902
Dhaka,Hybrid8 + mask + MAT variant B,Proposed (variant B),68.05757141113281,67.04,1.0175714111328062,76.9490737915039,76.0,0.9490737915039062,80.28453572591145,80.26,0.02453572591144848
Dhaka,Hybrid8 + mask + MAT + miss-dropout,Proposed + miss-dropout,69.04809824625652,67.48,1.5680982462565112,79.25524139404297,79.69,-0.434758605957029,81.30774180094402,81.54,-0.2322581990559911
Delhi,Hybrid8 + mask + MAT,Proposed (MAT),32.45236905415853,31.44,1.0123690541585297,33.31841532389323,33.06,0.2584153238932245,40.57276407877604,43.6,-3.027235921223962
Delhi,Hybrid8 + mask + MAT variant B,Proposed (variant B),32.45236905415853,31.44,1.0123690541585297,33.31841405232748,33.06,0.25841405232748116,40.57276407877604,43.6,-3.027235921223962
Delhi,Hybrid8 + mask + MAT + miss-dropout,Proposed + miss-dropout,26.860191980997723,26.42,0.44019198099772083,31.80502192179362,30.83,0.9750219217936227,34.36756388346354,34.37,-0.002436116536458144
Beijing,Hybrid8 + mask + MAT,Proposed (MAT),49.4764264424642,49.43,0.046426442464202466,76.53708394368489,76.79,-0.25291605631511516,87.05103556315105,86.37,0.6810355631510419
Beijing,Hybrid8 + mask + MAT variant B,Proposed (variant B),49.39837265014648,49.38,0.01837265014647471,76.31120045979817,76.74,-0.42879954020182254,86.98189290364583,86.46,0.5218929036458348
Beijing,Hybrid8 + mask + MAT + miss-dropout,Proposed + miss-dropout,50.95715586344401,51.44,-0.4828441365559897,76.75305938720703,76.37,0.3830593872070267,85.92282104492188,85.58,0.3428210449218767
