dataset,horizon,ensemble,previous_best_label,previous_best_model,previous_best_table_RMSE,previous_best_recomputed_RMSE,ensemble_RMSE,RMSE_diff_ensemble_minus_best,diff_CI95_lo,diff_CI95_hi,DM_stat,DM_p,n,significant_win,directional_win,one_sided_DM_p
Dhaka,6,adaptive_sota_portfolio_trainval,Two-stage (KNN),two_stage_knn,66.95,65.49266052246094,64.99736785888672,-0.4952926635742187,-1.7383092880249025,0.7133340835571264,-0.7906256985442576,0.4292045023041546,4459,False,True,0.2146022511520773
Dhaka,24,adaptive_sota_portfolio_trainval,Proposed (variant B),variant_B,76.0,74.45339965820312,74.02993774414062,-0.4234619140625,-1.5235347747802734,0.6414388656616207,-0.7537151644414405,0.4510591208285759,4569,False,True,0.22552956041428796
Dhaka,72,adaptive_sota_portfolio_trainval,GRU,gru,79.58,78.77552795410156,77.74080657958984,-1.0347213745117188,-1.9434906005859376,-0.1137334823608402,-2.1665803658886804,0.0303184388648822,4566,True,True,0.0151592194324411
Delhi,6,adaptive_sota_portfolio_trainval,Persistence,persistence,21.28,21.275962829589844,19.89634704589844,-1.3796157836914062,-2.8359924793243407,-0.002889108657837,-1.7716921796269318,0.0770106083534019,540,False,True,0.03850530417670095
Delhi,24,adaptive_sota_portfolio_trainval,Persistence,persistence,25.55,25.552906036376957,22.57571029663086,-2.9771957397460938,-4.438424062728882,-1.5191915512084964,-3.2358020341154154,0.0012874619340661,540,True,True,0.00064373096703305
Delhi,72,adaptive_sota_portfolio_trainval,DLinear,dlinear,27.43,26.407249450683597,25.9393367767334,-0.4679126739501953,-1.2888735294342042,0.4006793975830075,-0.7883020969430661,0.4308665764334116,540,False,True,0.2154332882167058
Beijing,6,adaptive_sota_portfolio_trainval,Proposed (variant B),variant_B,49.38,48.159088134765625,48.003116607666016,-0.1559715270996093,-0.2894364356994628,-0.0250879287719726,-1.8434104996351368,0.0653381767236664,4282,False,True,0.0326690883618332
Beijing,24,adaptive_sota_portfolio_trainval,GRU-D,gru_d,75.87,75.51629638671875,74.62677001953125,-0.8895263671875,-1.7105833053588868,-0.0992729187011724,-1.6191593295101812,0.1054864232574213,4295,False,True,0.05274321162871065
Beijing,72,adaptive_sota_portfolio_trainval,GRU-D,gru_d,84.77,84.58675384521484,84.00534057617188,-0.5814132690429688,-1.4445980072021485,0.2565858840942371,-0.7863057410295855,0.4317317894566144,4294,False,True,0.2158658947283072
