dataset,horizon,model,val,test
Beijing,6,extra200,80.30012343637507,49.04111853001998
Beijing,6,hgb,80.43913903663174,49.00333579753677
Beijing,24,extra200,103.3454325016268,75.70119594274496
Beijing,24,hgb,108.25533984334392,76.0895916111487
