variable,n_gaps,median_h,p90_h,max_h,share_missing_in_gaps_gt_7d,share_missing_in_gaps_gt_30d
PM2.5,8852,2.0,14.0,5087,0.38974374693477193,0.19431502370443027
PM10,7097,2.0,18.400000000000546,5087,0.6000369904564622,0.3603018421247318
NO2,8253,2.0,20.0,6603,0.5767501359173622,0.36959928363554956
O3,6466,2.0,21.0,10200,0.7024843186049735,0.5232554636330222
CO,5984,1.0,15.0,26304,0.7664292003521972,0.6595693588409509
SO2,7797,2.0,20.0,10122,0.6647964008367482,0.4704071983265037
