dataset,horizon,adaptive_portfolio_method,RMSE,previous_table_best_RMSE,delta_vs_previous_best,relative_improvement_pct,val_RMSE,beats_previous_best
Dhaka,6,tabular_extra_lean200,65.4358901977539,66.95,-1.5141098022460966,2.261553102682743,39.646751403808594,True
Dhaka,24,tabular_extra_lean200,74.02832794189453,76.0,-1.9716720581054688,2.594305339612459,58.46955108642578,True
Dhaka,72,ensemble_seed_member,77.74080657958984,79.58,-1.8391934204101545,2.311125182721984,,True
Delhi,6,linear_tabular_blend,19.999265670776367,21.28,-1.280734329223634,6.018488389208806,46.64582824707031,True
Delhi,24,linear_tabular_blend,22.72772216796875,25.55,-2.8222778320312507,11.046097189946186,41.360382080078125,True
Delhi,72,linear_tabular_blend,25.9393367767334,27.43,-1.4906632232666013,5.434426625106093,43.34508895874024,True
Beijing,6,ensemble_weighted,48.003116607666016,49.38,-1.376883392333987,2.78834222829888,,True
Beijing,24,ensemble_val_selected_pm25_metrics,74.62677001953125,75.87,-1.2432299804687545,1.6386318445614267,,True
Beijing,72,ensemble_seed_member,84.00534057617188,84.77,-0.764659423828121,0.9020401366381042,,True
