model,feature_mode,horizon,val_RMSE,test_RMSE,n_train,n_val,n_test,fit_s
tabular_extra_lean200,lean,6,39.646751403808594,65.4358901977539,7174,1186,4459,2.55
tabular_extra_lean200,lean,24,58.46955108642578,74.02832794189453,7391,1207,4569,3.41
tabular_extra_lean200,lean,72,68.45024108886719,78.35380554199219,7390,1209,4566,2.46
