missingness_bin,mid_missing_pct,n,Proposed + miss-dropout,Two-stage (SAITS),gap (two-stage − end-to-end)
0-0%,0.0,0,,,
0-0%,0.0,0,,,
0-0%,0.0,0,,,
0-0%,0.0,0,,,
0-2%,0.9,540,26.63,24.78,-1.85
