layer,head,peak_lag_h,entropy_nats
0,0,123,5.074
0,1,26,4.966
0,2,12,5.108
0,3,11,5.08
0,4,1,4.98
0,5,2,4.874
0,6,34,5.085
0,7,27,5.043
1,0,124,5.09
1,1,26,5.002
1,2,12,5.103
1,3,155,5.087
1,4,123,5.038
1,5,2,4.896
1,6,5,5.099
1,7,27,5.095
2,0,6,5.103
2,1,27,5.049
2,2,24,5.075
2,3,155,5.084
2,4,124,5.089
2,5,2,4.995
2,6,5,5.096
2,7,122,5.085
