split,model,horizon,RMSE,MAE,n
val,ensemble_stack_selected,6,45.276851654052734,32.8630485534668,354
val,ensemble_stack_selected,24,38.295005798339844,27.764400482177734,354
val,ensemble_stack_selected,72,41.28413009643555,30.186241149902344,354
test,ensemble_stack_selected,6,21.246597290039062,15.32176685333252,540
test,ensemble_stack_selected,24,27.215030670166016,22.546676635742188,540
test,ensemble_stack_selected,72,30.862735748291016,25.877466201782227,540
