split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_seed_member,PM2.5,6,45.276851654052734,32.8630485534668,354
val,ensemble_seed_member,PM2.5,24,41.19619369506836,30.274585723876953,354
val,ensemble_seed_member,PM2.5,72,41.59672546386719,31.101482391357422,354
test,ensemble_seed_member,PM2.5,6,21.246597290039062,15.32176685333252,540
test,ensemble_seed_member,PM2.5,24,24.65922737121582,19.964622497558594,540
test,ensemble_seed_member,PM2.5,72,29.438138961791992,23.299999237060547,540
