split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_ridge_seed_member,PM2.5,6,45.539791107177734,32.507240295410156,354
val,ensemble_ridge_seed_member,PM2.5,24,38.295005798339844,27.764400482177734,354
val,ensemble_ridge_seed_member,PM2.5,72,41.28413009643555,30.186241149902344,354
test,ensemble_ridge_seed_member,PM2.5,6,20.515235900878906,13.974839210510254,540
test,ensemble_ridge_seed_member,PM2.5,24,27.215030670166016,22.546676635742188,540
test,ensemble_ridge_seed_member,PM2.5,72,30.862735748291016,25.877466201782227,540
