split,model,pollutant,horizon,RMSE,MAE,n
val,ensemble_weighted_hybrid8,PM2.5,6,45.63015365600586,32.72825241088867,354
val,ensemble_weighted_hybrid8,PM2.5,24,42.10136032104492,30.742080688476562,354
val,ensemble_weighted_hybrid8,PM2.5,72,42.32608413696289,31.19611167907715,354
test,ensemble_weighted_hybrid8,PM2.5,6,21.69027328491211,15.391817092895508,540
test,ensemble_weighted_hybrid8,PM2.5,24,24.50563621520996,19.76202964782715,540
test,ensemble_weighted_hybrid8,PM2.5,72,27.71953010559082,21.707773208618164,540
