Station,First hour,Hours,PM2.5 obs,PM2.5 miss (%),All-vars miss (%)
AshokVihar,2018-06-01,11705,11705,0.0,0.0
DCStadium,2018-06-01,11704,11704,0.0,0.2
DwarkaSec8,2018-06-01,11704,11704,0.0,0.0
Najafgarh,2018-06-01,11704,11704,0.0,0.2
NehruNagar,2018-06-01,11705,11705,0.0,0.0
Okhla,2018-06-01,11705,11705,0.0,0.0
TOTAL,-,70227,70227,0.0,0.1
