,permutation_dRMSE_scaled,gradient_saliency
PM10,0.01545,0.00114
O3,0.00475,0.0007
PM2.5,0.00278,0.00272
RH,0.00242,0.00088
NO,0.00189,0.00067
SR,0.00152,0.00061
CO,0.00129,0.0005
Temp,0.00117,0.00115
SO2,0.00091,0.00049
WS,0.00061,0.00036
NOX,-5e-05,0.00034
NO2,-0.00011,0.00053
wd_cos,-0.00024,0.0007
Benzene,-0.00103,0.0005
BP,-0.00154,0.00036
NH3,-0.00306,0.00042
wd_sin,-0.00761,0.00045
