horizon,model,val,test
6,extra200,48.4093349044201,19.221802145753372
6,hgb,47.03823417452223,20.477033434402834
24,extra200,42.35656387755987,22.370994954033343
24,hgb,46.25069557812119,24.408853533701265
72,extra200,45.42867763017475,27.405714827789918
72,hgb,44.360181790432364,28.76504261540243
