model,seed,pollutant,horizon,RMSE,MAE,R2,sMAPE,n
persistence,,PM2.5,6,21.275962829589844,13.99843692779541,0.24011225669531422,38.147830963134766,540
persistence,,PM2.5,24,25.552906036376953,18.32799530029297,-0.1520910008401497,44.910369873046875,540
persistence,,PM2.5,72,30.91350746154785,22.490707397460938,-0.6717324846412802,54.14350509643555,540
persistence,,PM10,6,68.7024917602539,44.65652084350586,-0.04120296749766306,42.42435073852539,540
persistence,,PM10,24,86.30841064453125,54.5574951171875,-0.011149376775622555,43.76810836791992,540
persistence,,PM10,72,101.1139144897461,68.38666534423828,-0.3931442885409979,54.894775390625,540
persistence,,NO2,6,18.515058517456055,14.09347915649414,-2.098984920618001,43.145145416259766,540
persistence,,NO2,24,18.311569213867188,13.889037132263184,-0.2059736319250851,37.22486114501953,540
persistence,,NO2,72,19.690547943115234,15.378377914428711,-0.4075729062003164,41.866573333740234,540
persistence,,O3,6,29.19426727294922,13.737226486206055,-0.48073851962282155,65.5103759765625,540
persistence,,O3,24,29.589359283447266,15.789339065551758,-0.45135721896477476,70.3888168334961,540
persistence,,O3,72,32.359195709228516,17.971176147460938,-0.7541055614566932,77.42394256591797,540
persistence,,CO,6,0.779458224773407,0.49950724840164185,-1.0562147770644597,42.313133239746094,540
persistence,,CO,24,0.8770327568054199,0.5590681433677673,-0.41943197232832774,39.64575958251953,540
persistence,,CO,72,0.9685094952583313,0.6405579447746277,-0.7312220308589901,46.03797149658203,540
persistence,,SO2,6,6.168135643005371,3.845670461654663,-2.270187673323798,32.36714553833008,540
persistence,,SO2,24,4.646027088165283,2.9427499771118164,0.37449558817502826,24.04362678527832,540
persistence,,SO2,72,5.364346981048584,3.4825363159179688,0.14568259922197035,28.484207153320312,540
seasonal_naive,,PM2.5,6,27.678895950317383,18.99098014831543,-0.28608165223700754,54.20119857788086,540
seasonal_naive,,PM2.5,24,25.552906036376953,18.32799530029297,-0.1520910008401497,44.910369873046875,540
seasonal_naive,,PM2.5,72,30.91350746154785,22.490707397460938,-0.6717324846412802,54.14350509643555,540
